input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/d8b223e379fd1446911ba9f2891fc208b96f2bd5,java_gumtree,gumtree_lazy,184191,174598,130177,130177,0,0,16854,16854,18446744073696255104,18446744073684156120,23571488,3419464,130177,16854,130177,16854
d8b223e379fd1446911ba9f2891fc208b96f2bd5/045f502fa915bf1749deddabcd534f74c9dfd1af,java_gumtree,gumtree_lazy,174598,184191,130173,130173,0,0,16918,16918,18446744073696951904,18446744073684156120,3419464,736,130173,16918,130173,16918
045f502fa915bf1749deddabcd534f74c9dfd1af/a188a3ed734e3d551d0404854e7795d74534c0a6,java_gumtree,gumtree_lazy,184191,184191,141840,141840,0,0,0,0,18446744073696255104,18446744073683529160,736,0,141840,0,141840,0
a188a3ed734e3d551d0404854e7795d74534c0a6/23182d44680e2cab0869fd8db4b53ceeb2f807eb,java_gumtree,gumtree_lazy,184191,184191,141837,141837,0,0,10,10,18446744073696255104,18446744073683529112,0,40656,141837,10,141837,10
23182d44680e2cab0869fd8db4b53ceeb2f807eb/aa0de34dc6d99af14fdd6a46666dd6977004e133,java_gumtree,gumtree_lazy,184191,184206,141838,141838,0,0,17,17,18446744073696255056,18446744073683527952,40656,47888,141838,17,141838,17
aa0de34dc6d99af14fdd6a46666dd6977004e133/5c4fe1d48c434b8a1f79d63c342864aa66e934ba,java_gumtree,gumtree_lazy,184206,184206,141850,141850,0,0,22,22,18446744073696253896,18446744073683526792,47888,9024,141850,22,141850,22
5c4fe1d48c434b8a1f79d63c342864aa66e934ba/90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,java_gumtree,gumtree_lazy,184206,184206,141853,141853,0,0,0,0,18446744073696253960,18446744073683526856,9024,1536,141853,0,141853,0
90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/5fcbb283a323e2c5be9653b399475b6f582907ee,java_gumtree,gumtree_lazy,184206,184206,141853,141853,0,0,0,0,18446744073696253960,18446744073683526856,1536,0,141853,0,141853,0
5fcbb283a323e2c5be9653b399475b6f582907ee/956acb06d62ac33f975f312819b929bcdfbc70fa,java_gumtree,gumtree_lazy,184206,193334,141788,141788,0,0,7370,7370,18446744073696253960,18446744073682874424,0,93656,141788,7370,141788,7370
956acb06d62ac33f975f312819b929bcdfbc70fa/6df6053c24fe0920a594fd0e63738181756d4432,java_gumtree,gumtree_lazy,193334,193334,149062,149062,0,0,0,0,18446744073695602016,18446744073682227984,93656,4592,149062,0,149062,0
