input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
85417f68e1eb6d90d46e145229e390cf55a4a554/f481dae03021bca4667a6c038451aa1482dca9b2,java_gumtree,gumtree_lazy,9389,9389,8319,8319,0,0,11,11,18446744073708690320,18446744073707940072,739408,19112,8319,11,8319,11
f481dae03021bca4667a6c038451aa1482dca9b2/4622dbfb0d17551b1fc2765a0bb638ee59fb65bb,java_gumtree,gumtree_lazy,9389,9176,8130,8130,0,0,197,197,18446744073708690320,18446744073707957032,19112,-1040,8130,197,8130,197
4622dbfb0d17551b1fc2765a0bb638ee59fb65bb/ba4357a0863ae42a77c514758c917870a5d2d74b,java_gumtree,gumtree_lazy,9176,9308,8130,8130,0,0,128,128,18446744073708707608,18446744073707963664,-1040,13840,8130,128,8130,128
ba4357a0863ae42a77c514758c917870a5d2d74b/0922bde84dfa8cc4d90f8223dfa7cb631dd06059,java_gumtree,gumtree_lazy,9308,9308,8254,8254,0,0,0,0,18446744073708695232,18446744073707953008,13840,33856,8254,0,8254,0
0922bde84dfa8cc4d90f8223dfa7cb631dd06059/9514be9723d7b4471b28391a5bbc9729f170926a,java_gumtree,gumtree_lazy,9308,9308,8254,8254,0,0,0,0,18446744073708696952,18446744073707953008,33856,0,8254,0,8254,0
9514be9723d7b4471b28391a5bbc9729f170926a/ad540a86ec169b58213a81f46fddee5d2cdc50ff,java_gumtree,gumtree_lazy,9308,9308,8254,8254,0,0,0,0,18446744073708696952,18446744073707953008,0,15360,8254,0,8254,0
ad540a86ec169b58213a81f46fddee5d2cdc50ff/9cc3607cedc912d585e56c6ab04a1b2189a33c95,java_gumtree,gumtree_lazy,9308,9308,8254,8254,0,0,0,0,18446744073708696952,18446744073707953008,15360,0,8254,0,8254,0
9cc3607cedc912d585e56c6ab04a1b2189a33c95/32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5,java_gumtree,gumtree_lazy,9308,9307,8251,8251,0,0,5,5,18446744073708695232,18446744073707953080,0,0,8251,5,8251,5
32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5/c6267330a9e9c5b0d152a5950ba547fad5ab3ab2,java_gumtree,gumtree_lazy,9307,9307,8253,8253,0,0,0,0,18446744073708697080,18446744073707953208,0,0,8253,0,8253,0
c6267330a9e9c5b0d152a5950ba547fad5ab3ab2/75650533156812c8063d4271b06eea0d2f4d9d10,java_gumtree,gumtree_lazy,9307,9318,8250,8250,0,0,16,16,18446744073708697080,18446744073707952320,0,12256,8250,16,8250,16
75650533156812c8063d4271b06eea0d2f4d9d10/5d97c9a81ab01cc57f4981b0e472a77c8ea429ac,java_gumtree,gumtree_lazy,9318,9320,8257,8257,0,0,16,16,18446744073708696192,18446744073707951160,12256,44040,8257,16,8257,16
5d97c9a81ab01cc57f4981b0e472a77c8ea429ac/b83fe492720dff146bb308b17aa27be8ab68d7bc,java_gumtree,gumtree_lazy,9320,9320,8265,8265,0,0,0,0,18446744073708695920,18446744073707950992,44040,-1536,8265,0,8265,0
b83fe492720dff146bb308b17aa27be8ab68d7bc/b4dd8aa981e27f0fd7929c84e06a9e078ceb4aac,java_gumtree,gumtree_lazy,9320,9320,8260,8260,0,0,10,10,18446744073708695920,18446744073707951016,-1536,11648,8260,10,8260,10
