input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,java_gumtree,gumtree_lazy,2424171,2424171,-1,1849128,-1,-1,1,-1,-1,-1,283657232,22792,1849128,1,1849128,1
7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/9c9e855d23519caa7d846fb1d309bf22e7ca10f5,java_gumtree,gumtree_lazy,2424171,2424171,-1,1849128,-1,-1,1,-1,-1,-1,22792,-288,1849128,1,1849128,1
9c9e855d23519caa7d846fb1d309bf22e7ca10f5/a73bf2506b0855eece996bd290c9382b5ffbd0a9,java_gumtree,gumtree_lazy,2424171,2423557,-1,1848626,-1,-1,523,-1,-1,-1,-288,18168,1848626,523,1848626,523
a73bf2506b0855eece996bd290c9382b5ffbd0a9/514d42123309d69ff7b4b691cb56d1660e75edfb,java_gumtree,gumtree_lazy,2423557,2424171,-1,1848626,-1,-1,524,-1,-1,-1,18168,18144,1848626,524,1848626,524
514d42123309d69ff7b4b691cb56d1660e75edfb/39bc3cb12a982d0225521e6f1d10bd01bd9a2575,java_gumtree,gumtree_lazy,2424171,2423735,-1,1848775,-1,-1,363,-1,-1,-1,18144,92904,1848775,363,1848775,363
39bc3cb12a982d0225521e6f1d10bd01bd9a2575/aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b,java_gumtree,gumtree_lazy,2423735,2423993,-1,1848636,-1,-1,507,-1,-1,-1,92904,22880,1848636,507,1848636,507
aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b/e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2,java_gumtree,gumtree_lazy,2423993,2423557,-1,1848637,-1,-1,363,-1,-1,-1,22880,0,1848637,363,1848637,363
e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2/6841ca79104f6b78179e44b56ae9a033b8131c70,java_gumtree,gumtree_lazy,2423557,2423557,-1,1848646,-1,-1,0,-1,-1,-1,0,0,1848646,0,1848646,0
6841ca79104f6b78179e44b56ae9a033b8131c70/6460f65759694488446a51e79f74c742290fc13e,java_gumtree,gumtree_lazy,2423557,2423558,-1,1848628,-1,-1,37,-1,-1,-1,0,-56104,1848628,37,1848628,37
6460f65759694488446a51e79f74c742290fc13e/9130f8e78ed0d8bdf4b56058ae540c50f0b413ce,java_gumtree,gumtree_lazy,2423558,2423558,-1,1848647,-1,-1,1,-1,-1,-1,-56104,14200,1848647,1,1848647,1
9130f8e78ed0d8bdf4b56058ae540c50f0b413ce/f33474b4c618ee86cde67d5f589e447409183837,java_gumtree,gumtree_lazy,2423558,2423547,-1,1848632,-1,-1,20,-1,-1,-1,14200,-600,1848632,20,1848632,20
