input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
f79ea208b1a42d0ee9e921dcfb3694221a2037ed/463bb7d096d7ce0568302a75b67808b6be78daae,java_gumtree,gumtree_lazy,360434,360434,281427,281427,0,0,9,9,18446744073683405864,18446744073658046320,44541960,30568,281427,9,281427,9
463bb7d096d7ce0568302a75b67808b6be78daae/b2b1424582f973457e15f4eeba35cd3c0c0ed2b6,java_gumtree,gumtree_lazy,360434,360434,281430,281430,0,0,3,3,18446744073683406112,18446744073658046320,30568,2000,281430,3,281430,3
b2b1424582f973457e15f4eeba35cd3c0c0ed2b6/774c751a9ee026c6d7e4b0ca44dac6ad526de557,java_gumtree,gumtree_lazy,360434,366223,281430,281430,0,0,4588,4588,18446744073683406112,18446744073657619704,2000,718120,281430,4588,281430,4588
774c751a9ee026c6d7e4b0ca44dac6ad526de557/49c75804c5a8964afa1aa3c6e6463bb792de4457,java_gumtree,gumtree_lazy,366223,366223,286016,286016,0,0,3,3,18446744073682979376,18446744073657205432,718120,24176,286016,3,286016,3
49c75804c5a8964afa1aa3c6e6463bb792de4457/bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,java_gumtree,gumtree_lazy,366223,366223,286016,286016,0,0,3,3,18446744073682979128,18446744073657205432,24176,6928,286016,3,286016,3
bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0/d7f824119cd68f986fd5ed8a501007e6862f5081,java_gumtree,gumtree_lazy,366223,366223,286016,286016,0,0,3,3,18446744073682979128,18446744073657205432,6928,5072,286016,3,286016,3
d7f824119cd68f986fd5ed8a501007e6862f5081/ba5f8f9e539c57874af260efda4eacf296e9ffa4,java_gumtree,gumtree_lazy,366223,366223,286017,286017,0,0,0,0,18446744073682979200,18446744073657205480,5072,0,286017,0,286017,0
ba5f8f9e539c57874af260efda4eacf296e9ffa4/91256532788aeee39d67087936be9bb458022c7a,java_gumtree,gumtree_lazy,366223,366223,286016,286016,0,0,3,3,18446744073682979200,18446744073657205424,0,10560,286016,3,286016,3
91256532788aeee39d67087936be9bb458022c7a/81bb6d1dec28ca135382e29e3eccffcc957726be,java_gumtree,gumtree_lazy,366223,366223,286013,286013,0,0,9,9,18446744073682979120,18446744073657205424,10560,14304,286013,9,286013,9
81bb6d1dec28ca135382e29e3eccffcc957726be/b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,java_gumtree,gumtree_lazy,366223,366223,286017,286017,0,0,0,0,18446744073682979192,18446744073657205472,14304,48,286017,0,286017,0
b5343ba96ce0e24c77e7be0efdb111f6fdf999ec/7ee3e2787f45f5453b61a9af6c659993b4eba6d5,java_gumtree,gumtree_lazy,366223,365884,285738,285738,0,0,291,291,18446744073682979192,18446744073657229544,48,-8112,285738,291,285738,291
7ee3e2787f45f5453b61a9af6c659993b4eba6d5/49ddab9eeb6cbac686711deca6001d40e8d8500d,java_gumtree,gumtree_lazy,365884,365768,285648,285648,0,0,120,120,18446744073683004048,18446744073657261992,-8112,18400,285648,120,285648,120
49ddab9eeb6cbac686711deca6001d40e8d8500d/d19e9fe0af6d335948547416e9685498405a8a9d,java_gumtree,gumtree_lazy,365768,365546,285197,285197,0,0,776,776,18446744073683011680,18446744073657284488,18400,344920,285197,776,285197,776
d19e9fe0af6d335948547416e9685498405a8a9d/a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,java_gumtree,gumtree_lazy,365546,365533,285484,285484,0,0,19,19,18446744073683026928,18446744073657300736,344920,7344,285484,19,285484,19
a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7/241044d70912a34ec7326b7bf41a83b643d49f14,java_gumtree,gumtree_lazy,365533,365533,285487,285487,0,0,3,3,18446744073683028056,18446744073657301816,7344,8176,285487,3,285487,3
241044d70912a34ec7326b7bf41a83b643d49f14/e58db43f574aa2c350455ad4ab03b9404403013c,java_gumtree,gumtree_lazy,365533,365533,285488,285488,0,0,0,0,18446744073683028056,18446744073657301864,8176,0,285488,0,285488,0
e58db43f574aa2c350455ad4ab03b9404403013c/b6acf1178a1e9279a77235abe55d6895dd5c09f3,java_gumtree,gumtree_lazy,365533,365533,285487,285487,0,0,9,9,18446744073683028056,18446744073657301752,0,30640,285487,9,285487,9
b6acf1178a1e9279a77235abe55d6895dd5c09f3/82fed02fbae4bbe3fe2d76d46b2d577a469bdba0,java_gumtree,gumtree_lazy,365533,365533,285487,285487,0,0,9,9,18446744073683027928,18446744073657301752,30640,40320,285487,9,285487,9
82fed02fbae4bbe3fe2d76d46b2d577a469bdba0/47dea2eefc6d2816cddb3f30689070285491733c,java_gumtree,gumtree_lazy,365533,365533,285488,285488,0,0,0,0,18446744073683028304,18446744073657301864,40320,480,285488,0,285488,0
47dea2eefc6d2816cddb3f30689070285491733c/565b7a198e026596c3fd18304f86537ae20f9a3f,java_gumtree,gumtree_lazy,365533,364961,285031,285031,0,0,466,466,18446744073683028304,18446744073657342184,480,29904,285031,466,285031,466
565b7a198e026596c3fd18304f86537ae20f9a3f/e2e851c9bc692cec68ba7b0cbb002f82b4a229e4,java_gumtree,gumtree_lazy,364961,364440,284619,284619,0,0,442,442,18446744073683069488,18446744073657419880,29904,-17088,284619,442,284619,442
e2e851c9bc692cec68ba7b0cbb002f82b4a229e4/710a76c8b8835e36935c62024001ba6b91ceee01,java_gumtree,gumtree_lazy,364440,362743,283167,283167,0,0,1654,1654,18446744073683106344,18446744073657573144,-17088,81240,283167,1654,283167,1654
710a76c8b8835e36935c62024001ba6b91ceee01/be0a1f4ff74bcd01580887cc9f3ec592d773f24c,java_gumtree,gumtree_lazy,362743,362561,283116,283116,0,0,284,284,18446744073683229280,18446744073657709584,81240,43192,283116,284,283116,284
be0a1f4ff74bcd01580887cc9f3ec592d773f24c/8e01b54682612471a9ab40c73911dfbf6b5be036,java_gumtree,gumtree_lazy,362561,362563,283184,283184,0,0,4,4,18446744073683242528,18446744073657722464,43192,0,283184,4,283184,4
8e01b54682612471a9ab40c73911dfbf6b5be036/4d8cab89c4711f70416446107adec2d99f6b8e52,java_gumtree,gumtree_lazy,362563,362563,283186,283186,0,0,3,3,18446744073683242480,18446744073657722216,0,5952,283186,3,283186,3
4d8cab89c4711f70416446107adec2d99f6b8e52/26e08fe742a9a023cc8eca454de8f84a0223d187,java_gumtree,gumtree_lazy,362563,362563,283186,283186,0,0,3,3,18446744073683242480,18446744073657722464,5952,12288,283186,3,283186,3
26e08fe742a9a023cc8eca454de8f84a0223d187/73216b2ad7b16f669000b8d7bb443921ea1a5b55,java_gumtree,gumtree_lazy,362563,362563,-1,283171,-1,-1,32,-1,-1,-1,12288,7560,283171,32,283171,32
73216b2ad7b16f669000b8d7bb443921ea1a5b55/ffcfb15f6c63548f2d10a945116df8d5dbb8a025,java_gumtree,gumtree_lazy,362563,362441,283016,283016,0,0,267,267,18446744073683242232,18446744073657729928,7560,49320,283016,267,283016,267
ffcfb15f6c63548f2d10a945116df8d5dbb8a025/d38e3974211e89d8e6d74c94178a2db102c0748d,java_gumtree,gumtree_lazy,362441,362441,283099,283099,0,0,3,3,18446744073683250192,18446744073657737888,49320,7744,283099,3,283099,3
d38e3974211e89d8e6d74c94178a2db102c0748d/4ec67c00a08348bff6abe1a4a285f8a78483ee37,java_gumtree,gumtree_lazy,362441,362400,283044,283044,0,0,81,81,18446744073683250240,18446744073657740984,7744,9224,283044,81,283044,81
4ec67c00a08348bff6abe1a4a285f8a78483ee37/f26525221d48e344f3237e21ecae0afda7d1d582,java_gumtree,gumtree_lazy,362400,362400,283066,283066,0,0,3,3,18446744073683253288,18446744073657743984,9224,10592,283066,3,283066,3
f26525221d48e344f3237e21ecae0afda7d1d582/6b96a389cc40d56fd3d00547c00a42ab2bef6098,java_gumtree,gumtree_lazy,362400,362400,283066,283066,0,0,3,3,18446744073683253488,18446744073657743936,10592,8512,283066,3,283066,3
6b96a389cc40d56fd3d00547c00a42ab2bef6098/dc28951fa7e7112f0e229e0a4665ad27a1891d79,java_gumtree,gumtree_lazy,362400,362505,282951,282951,0,0,369,369,18446744073683253240,18446744073657734688,8512,53224,282951,369,282951,369
dc28951fa7e7112f0e229e0a4665ad27a1891d79/bc8858a3d9a79a7d091474b436767b73e8338ac1,java_gumtree,gumtree_lazy,362505,362500,283111,283111,0,0,101,101,18446744073683246472,18446744073657728576,53224,23368,283111,101,283111,101
bc8858a3d9a79a7d091474b436767b73e8338ac1/615c8835d309e1be512dd98809b48332ce70250d,java_gumtree,gumtree_lazy,362500,362500,283152,283152,0,0,6,6,18446744073683247104,18446744073657729568,23368,28608,283152,6,283152,6
