input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
be6713661c120c222c17026e62401191bdc4035c/a203cc9f5e211defc70f84750af5b680756ccb00,java_gumtree,gumtree_lazy,2558245,2558245,-1,2012093,-1,-1,0,-1,-1,-1,326677152,25536,2012093,0,2012093,0
a203cc9f5e211defc70f84750af5b680756ccb00/170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,java_gumtree,gumtree_lazy,2558245,2558245,-1,2012090,-1,-1,7,-1,-1,-1,25536,-21616,2012090,7,2012090,7
170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/51e7142d5705c10833e0959fdf2534a32b0e7d86,java_gumtree,gumtree_lazy,2558245,2558245,-1,2012093,-1,-1,0,-1,-1,-1,-21616,13824,2012093,0,2012093,0
51e7142d5705c10833e0959fdf2534a32b0e7d86/09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b,java_gumtree,gumtree_lazy,2558245,2558339,-1,2011996,-1,-1,264,-1,-1,-1,13824,17544,2011996,264,2011996,264
09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b/0f25bf3bf6a77bc934f2f19b794eb5725c6f502b,java_gumtree,gumtree_lazy,2558339,2558339,-1,2012163,-1,-1,0,-1,-1,-1,17544,17984,2012163,0,2012163,0
0f25bf3bf6a77bc934f2f19b794eb5725c6f502b/bcb84723a2086294042cc80a2d1afb564db3658b,java_gumtree,gumtree_lazy,2558339,2558339,-1,2012163,-1,-1,0,-1,-1,-1,17984,29744,2012163,0,2012163,0
bcb84723a2086294042cc80a2d1afb564db3658b/f0e343f3b3b48b3cadc35718cb4c8667eda872a4,java_gumtree,gumtree_lazy,2558339,2558339,-1,2012163,-1,-1,0,-1,-1,-1,29744,13024,2012163,0,2012163,0
f0e343f3b3b48b3cadc35718cb4c8667eda872a4/bc85adeaa01480aafd1dae9a73070bdfc1c78655,java_gumtree,gumtree_lazy,2558339,2559633,-1,2012160,-1,-1,1003,-1,-1,-1,13024,-29880,2012160,1003,2012160,1003
bc85adeaa01480aafd1dae9a73070bdfc1c78655/d54945e98b9393a9400a17144f721bc5c40f2fe1,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,-29880,2944,2013160,0,2013160,0
d54945e98b9393a9400a17144f721bc5c40f2fe1/fe8213b22bdd2341e658fe31682b8912de4c1b72,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,2944,48016,2013160,0,2013160,0
fe8213b22bdd2341e658fe31682b8912de4c1b72/6685c2a1742f7257eb8e542f4a99386582a29bda,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,48016,48,2013160,0,2013160,0
6685c2a1742f7257eb8e542f4a99386582a29bda/84a8d494e32a39084e17de599a82fc7efca045d5,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,48,3320,2013160,0,2013160,0
84a8d494e32a39084e17de599a82fc7efca045d5/7ea7de949d36343db746b83a5f0b84734b706e8f,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,3320,96,2013160,0,2013160,0
7ea7de949d36343db746b83a5f0b84734b706e8f/dadfffa6c5a697e652ee81c670a6168a3d117b0b,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,96,3072,2013160,0,2013160,0
dadfffa6c5a697e652ee81c670a6168a3d117b0b/212ee6bbcfef5fbf51971646668257a105079041,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,3072,0,2013160,0,2013160,0
212ee6bbcfef5fbf51971646668257a105079041/f4b4aa853b3c6d36791baf51f8433c7336df2149,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013160,-1,-1,0,-1,-1,-1,0,0,2013160,0,2013160,0
f4b4aa853b3c6d36791baf51f8433c7336df2149/eabe497ebb6d4faf7034c60b6106d6675abd978e,java_gumtree,gumtree_lazy,2559633,2559633,-1,2013152,-1,-1,24,-1,-1,-1,0,-32480,2013152,24,2013152,24
